Umoja Overview,Umoja Master Data & Coding Block Overview,Umoja Funds Management Overview,Umoja Cash Management and Treasury Overview,Umoja Grants Management Overview,Umoja Cost and Management Accounting Overview,Umoja Real Estate Management Overview,Umoja Requisitioning Overview,Umoja Procurement Overview,Umoja Accounts Payable Overview,Umoja Accounts Receivable Overview,Umoja Asset Accounting Overview,Umoja Property Management Overview,Umoja Requesting and Managing Services for Consultant and ICs Overview,Umoja Logistics Overview (Non-Peacekeeping),Umoja Material Master Overview,Umoja Organizational Management Overview,Umoja Travel Overview,Umoja Services Delivery Overview,Umoja ECC Navigation,Umoja SRM Navigation,Umoja BI Navigation,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),Umoja Advanced BI Navigation,Umoja Requisitioning and Procurement Approvals,Umoja Low Value Acquisitions,Umoja Service Receipt Process,Umoja Benefits Employee Self-Service (ESS) Overview,Umoja Medical and Life Insurance Administration,Umoja Create Official Travel Request,Umoja Create HR and Entitlement Travel Request,Umoja Create Shipment Request of Personal Items,Umoja Process Expense Report,Umoja General Ledger Process,Umoja Budget Distribution,Umoja Budget Implementation,Umoja Grants Management Process - Framework I,Umoja Grants Management Process - Framework II,Umoja Grants Management Process – Pass-through Grants Execution,Umoja Cost and Management Accounting Process,Umoja Project Management Process,Umoja Requisitioning,Umoja Solicitations,Umoja Accounts Payable Process,Umoja Payment Processing (Cashiers),Umoja Lease Administration Process,Umoja Real Estate Portfolio Management,Umoja Contract and PO Creation,Umoja Accounts Receivable Process,Umoja Fixed Asset Accounting Process,Umoja Local Inventory Goods Movement,Umoja Warehouse Management,Umoja Requesting Services of Consultants and ICs Process,Umoja Management of Consultants and ICs,Umoja Inbound Goods Process (Non-Peacekeeping),Umoja Inventory Counting and Controlling,Umoja Assets Under Construction,Umoja Bank Reconciliation ,Umoja Service Order Management,Umoja Sales and Distribution,HR Partner Course,HR Mini Master **,Umoja Organizational Management for OM Administrators,Umoja Organizational Management for Central Budget Staff,Umoja Create Travel Request for Uniformed Personnel **,Umoja Processing and Approving Travel Requests,Umoja Ticket Billing and Reconciliation,Umoja Travel Finance Integration,Umoja Distance Learning for Services Delivery and Property Management
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,CBT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,VILT
101,102,104,105,106,108,109,110,111,113,115,118,119,121,123,126,153,155,158,201,202,203,211,301,323,326,342,3125,3126,3142,3144,3146,3147,308,309,310,311,312,313,314,315,318,319,321,322,324,325,328,330,332,339,340,341,343,350,351,370,371,390,391,392,393,3134,3135,3145,3148,3149,3150,401
LMS-1335,LMS-1336,LMS-1338,LMS-1339,LMS-1340,LMS-1342,LMS-1326,LMS-1344,LMS-1345,LMS-1347,LMS-1349,LMS-1352,LMS-1775,LMS-1443,LMS-1920,LMS-1929,LMS-1715,LMS-1737,LMS-2175,LMS-1354,LMS-1355,LMS-1356,LMS-1714,LMS-1289,LMS-1487,LMS-1327,LMS-1570,LMS-1888,LMS-1732,LMS-1996,LMS-1997,LMS-1998,LMS-1999,LMS-1304,LMS-1303,LMS-1564,LMS-1306,LMS-1571,LMS-1931,LMS-1308,LMS-1307,LMS-1320,LMS-1325,LMS-1323,LMS-1324,LMS-1569,LMS-1568,LMS-1328,LMS-1330,LMS-1332,LMS-1935,LMS-2165,LMS-1529,LMS-1531,LMS-1938,LMS-1939,LMS-1946,LMS-1947,LMS-2200,LMS-1527,LMS-1960,LMS-2073,LMS-1728,LMS-1729,LMS-1954,LMS-1957,LMS-1958,LMS-1959,LMS-2181
