Umoja Overview,Umoja Master Data & Coding Block Overview,Umoja ECC Navigation,Umoja BI Navigation,Umoja Sales and Distribution,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),Umoja Services Delivery Overview,Umoja Distance Learning for Services Delivery and Property Management,Umoja Advanced BI Navigation,Umoja Requesting and Managing Services for Consultant and ICs Overview,Umoja Organizational Management Overview,Umoja Travel Overview,Umoja Benefits Employee Self-Service (ESS) Overview,HR Partner Course,Umoja Create HR and Entitlement Travel Request,Umoja Budget Distribution,Umoja Requisitioning,Umoja Funds Management Overview,Umoja Cost and Management Accounting Overview,Umoja Requisitioning Overview,Umoja Procurement Overview,Umoja SRM Navigation,Umoja Budget Implementation,Umoja Service Receipt Process,Umoja Material Master Overview,Umoja Cost and Management Accounting Process,Umoja Accounts Payable Process,Umoja Accounts Payable Overview,Umoja Accounts Receivable Overview,Umoja Asset Accounting Overview,Umoja Property Management Overview,Umoja Logistics Overview (Non-Peacekeeping),Umoja Inbound Goods Process (Non-Peacekeeping),Umoja Processing and Approving Travel Requests,Umoja Create Official Travel Request,Umoja Create Shipment Request of Personal Items,Umoja Process Expense Report,HR Mini Master **,Umoja Grants Management Process - Framework I,Umoja Project Management Process,Umoja Grants Management Overview,Umoja Grants Management Process - Framework II,Umoja Grants Management Process – Pass-through Grants Execution,Umoja Low Value Acquisitions,Umoja Requisitioning and Procurement Approvals,Umoja Accounts Receivable Process,Umoja Bank Reconciliation ,Umoja Requesting Services of Consultants and ICs Process,Umoja Solicitations,Umoja Contract and PO Creation,Umoja Real Estate Management Overview,Umoja General Ledger Process,Umoja Create Travel Request for Uniformed Personnel **,Umoja Create Travel Request for Uniformed Personnel **,Umoja Medical and Life Insurance Administration,Umoja Cash Management and Treasury Overview,Umoja Management of Consultants and ICs,Umoja Local Inventory Goods Movement,Umoja Inventory Counting and Controlling,Umoja Fixed Asset Accounting Process,Umoja Assets Under Construction,Umoja Ticket Billing and Reconciliation,Umoja Travel Finance Integration,Umoja Organizational Management for OM Administrators,Umoja Organizational Management for Central Budget Staff,Umoja Service Order Management,Umoja Real Estate Portfolio Management,Umoja Lease Administration Process,Umoja Warehouse Management,Umoja Payment Processing (Cashiers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,3,2,1,3,3,1,1,1,3,3,3,3,3,1,1,1,1,2,3,3,1,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBT,CBT,CBT,CBT,ILT,CBT,CBT,VILT,CBT,CBT,CBT,CBT,CBT,ILT,CBT,ILT,ILT,CBT,CBT,CBT,CBT,CBT,ILT,CBT,CBT,ILT,ILT,CBT,CBT,CBT,CBT,CBT,ILT,ILT,CBT,CBT,CBT,ILT,ILT,ILT,CBT,ILT,ILT,CBT,CBT,ILT,ILT,ILT,ILT,ILT,CBT,ILT,ILT,VILT,CBT,CBT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,ILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,102,201,203,391,211,158,401,301,121,153,155,3125,392,3144,309,318,104,108,110,111,202,310,342,126,314,321,113,115,118,119,123,350,3148,3142,3146,3147,393,311,315,106,312,313,326,323,330,371,341,319,328,109,308,3145,3145,3126,105,343,339,351,332,370,3149,3150,3134,3135,390,325,324,340,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMS-1335,LMS-1336,LMS-1354,LMS-1356,LMS-1527,LMS-1714,LMS-2175,LMS-2181,LMS-1289,LMS-1443,LMS-1715,LMS-1737,LMS-1888,LMS-1960,LMS-1997,LMS-1303,LMS-1320,LMS-1338,LMS-1342,LMS-1344,LMS-1345,LMS-1355,LMS-1564,LMS-1570,LMS-1929,LMS-1308,LMS-1323,LMS-1347,LMS-1349,LMS-1352,LMS-1775,LMS-1920,LMS-1938,LMS-1957,LMS-1996,LMS-1998,LMS-1999,LMS-2073,LMS-1306,LMS-1307,LMS-1340,LMS-1571,LMS-1931,LMS-1327,LMS-1487,LMS-1330,LMS-1947,LMS-1529,LMS-1325,LMS-1328,LMS-1326,LMS-1304,LMS-1954,LMS-1954,LMS-1732,LMS-1339,LMS-1531,LMS-1935,LMS-1939,LMS-1332,LMS-1946,LMS-1958,LMS-1959,LMS-1728,LMS-1729,LMS-2200,LMS-1568,LMS-1569,LMS-2165,LMS-1324,LMS-1745,LMS-2342,LMS-2000,LMS-2193,LMS-1624,LMS-1667,LMS-2195,LMS-2002,LMS-2167,LMS-2199,LMS-2168,LMS-2001,LMS-2268,LMS-2269,LMS-2003,LMS-2271,LMS-2244,LMS-1346,LMS-2241,LMS-2242,LMS-1806,LMS-1970,LMS-2202,LMS-1322,LMS-1898,LMS-1903,LMS-1910,LMS-2004,LMS-2025,LMS-1807,LMS-1357,LMS-1984,LMS-2014,LMS-2182,LMS-2183,LMS-2218,LMS-2314,LMS-2029,LMS-2229,LMS-1949,LMS-1794,LMS-1808,LMS-1932,LMS-1978,LMS-1879,LMS-2052,LMS-2173,LMS-1299,LMS-1900,LMS-1979,LMS-1901,LMS-1902,LMS-1309,LMS-2020,LMS-1891,LMS-2447,LMS-2330,LMS-1909,LMS-1915,LMS-1916,LMS-1919,LMS-2110,LMS-2186,LMS-1756,LMS-1773,LMS-1704,LMS-1302,LMS-1348,LMS-2076,LMS-2078,LMS-2097,LMS-2282,LMS-2436,LMS-2108,LMS-1329,LMS-1375,LMS-1376,LMS-2085,LMS-2055,LMS-1866,LMS-1985,LMS-1976,LMS-1982,LMS-2024,LMS-1878,LMS-1934,LMS-1940,LMS-1941,LMS-1988,LMS-1566,LMS-2209,LMS-2112,LMS-2294,LMS-1865,LMS-2140,LMS-2013,LMS-1370,LMS-2156,LMS-2012,LMS-1933,LMS-2307,LMS-2109,LMS-1890,LMS-1966,LMS-1362,LMS-1373,LMS-1380,LMS-1972,LMS-1973,LMS-1974,LMS-2017,LMS-2026,LMS-2056,LMS-2018,LMS-2046,LMS-1760,LMS-2008,LMS-2114,LMS-1863,LMS-1759,LMS-2021,LMS-2149,LMS-2174,LMS-1862,LMS-2141,LMS-1809,LMS-2043,LMS-1741,LMS-1752,LMS-2028,LMS-2373,LMS-2374,LMS-1498,LMS-1499,LMS-1777,LMS-1778,LMS-1747,LMS-2246,LMS-2087,LMS-1519,LMS-1993,LMS-1321,LMS-2146,LMS-1334,LMS-1779,LMS-1780,LMS-1781,LMS-2079,LMS-1797,LMS-1374,LMS-1723,LMS-1724,LMS-1730,LMS-1742,LMS-1743,LMS-1750,LMS-1755,LMS-1758,LMS-1762,LMS-1767,LMS-1768,LMS-1772,LMS-1983,LMS-2027,LMS-1994,LMS-1749,LMS-2081,LMS-2090,LMS-2113,LMS-2274,LMS-2275,LMS-1363,LMS-1914,LMS-1364,LMS-1368,LMS-1369,LMS-1382,LMS-1738,LMS-1288,LMS-2196,LMS-1992,LMS-2047,LMS-1953,LMS-2080,LMS-1371,LMS-1378,LMS-2272,LMS-2036,LMS-2066,LMS-2082,LMS-2083,LMS-1995,LMS-1636,LMS-1795,LMS-1945,LMS-1532,LMS-1746,LMS-1528,LMS-2053,LMS-1720,LMS-1718,LMS-1869,LMS-2033,LMS-2063,LMS-1788,LMS-2060,LMS-2065,LMS-2072,LMS-2041,LMS-2030,LMS-2031,LMS-2042,LMS-2061,LMS-2071,LMS-1719,LMS-2091,LMS-2099,LMS-2037,LMS-2038,LMS-2067,LMS-2068,LMS-2051,LMS-1721,LMS-1722,LMS-1748,LMS-1930,LMS-2245,LMS-2145,LMS-1530,LMS-1952,LMS-2086,LMS-2048,LMS-2070,LMS-2273,LMS-1899,LMS-2201,LMS-2231,LMS-1751,LMS-1757,LMS-2101,LMS-1331,LMS-2040,LMS-2383,LMS-2293,LMS-2230,LMS-2084,LMS-2384,LMS-1766,LMS-2094,LMS-2270,LMS-2088,LMS-2032,LMS-2062,LMS-2092,LMS-2034,LMS-2064
